16
11 _ 7 _ _ 1 _ _ 8 _ 10 _ 16 _ _ 4
_ _ 13 5 12 _ 14 16 _ 4 _ 1 2 _ _ _
_ _ 3 _ 5 13 _ 11 _ 14 16 _ _ _ _ _
_ 9 _ _ 4 6 _ 15 _ 11 _ _ _ 13 14 _
8 _ 11 1 3 16 _ _ 14 9 15 _ 12 _ _ 13
9 16 _ _ 1 _ 5 7 3 2 _ _ 15 4 _ _
13 _ _ _ 6 _ _ 9 _ 12 5 _ 8 _ 10 16
5 _ _ _ 14 _ 12 13 _ _ _ _ _ _ _ 9
6 _ 16 15 2 7 _ 5 _ 3 _ _ _ 10 8 12
7 _ _ _ 8 14 _ _ _ _ 13 _ 1 _ 4 _
1 10 _ _ 15 12 _ _ 2 6 _ 8 _ _ _ 7
14 _ 8 _ _ 9 16 _ _ _ _ _ _ 11 15 _
_ _ _ 4 11 _ 9 _ _ _ _ 6 13 14 16 15
_ _ _ 9 10 15 6 _ 13 1 2 4 _ 12 5 _
12 7 _ _ _ _ _ _ _ 5 _ 15 4 8 _ 10
_ _ _ _ _ 4 _ 1 12 _ 3 14 11 9 _ 2
